"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/01/2017","170010007","1","0.035","ppm","32","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/02/2017","170010007","1","0.036","ppm","33","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/03/2017","170010007","1","0.042","ppm","39","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/04/2017","170010007","1","0.054","ppm","50","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/05/2017","170010007","1","0.045","ppm","42","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/06/2017","170010007","1","0.035","ppm","32","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/07/2017","170010007","1","0.046","ppm","43","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/08/2017","170010007","1","0.046","ppm","43","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/09/2017","170010007","1","0.042","ppm","39","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/10/2017","170010007","1","0.039","ppm","36","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/11/2017","170010007","1","0.037","ppm","34","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/12/2017","170010007","1","0.041","ppm","38","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/13/2017","170010007","1","0.04","ppm","37","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/14/2017","170010007","1","0.044","ppm","41","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/15/2017","170010007","1","0.046","ppm","43","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/16/2017","170010007","1","0.039","ppm","36","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/17/2017","170010007","1","0.046","ppm","43","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/18/2017","170010007","1","0.041","ppm","38","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/19/2017","170010007","1","0.038","ppm","35","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/20/2017","170010007","1","0.048","ppm","44","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/21/2017","170010007","1","0.048","ppm","44","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/22/2017","170010007","1","0.047","ppm","44","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/23/2017","170010007","1","0.041","ppm","38","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/24/2017","170010007","1","0.047","ppm","44","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/25/2017","170010007","1","0.05","ppm","46","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/26/2017","170010007","1","0.026","ppm","24","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/27/2017","170010007","1","0.024","ppm","22","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/28/2017","170010007","1","0.029","ppm","27","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/29/2017","170010007","1","0.032","ppm","30","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/30/2017","170010007","1","0.027","ppm","25","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/31/2017","170010007","1","0.036","ppm","33","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/01/2017","170010007","1","0.05","ppm","46","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/02/2017","170010007","1","0.039","ppm","36","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/03/2017","170010007","1","0.029","ppm","27","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/04/2017","170010007","1","0.039","ppm","36","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/05/2017","170010007","1","0.041","ppm","38","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/06/2017","170010007","1","0.045","ppm","42","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/07/2017","170010007","1","0.051","ppm","47","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/08/2017","170010007","1","0.065","ppm","84","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/09/2017","170010007","1","0.055","ppm","51","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
